w_cleaned,w_tfidf,w_article,precision_at_5,precision_at_10,ndcg_at_10,mrr,average_relevance,average_legal_meaning_score,objective_score,candidate_recall_objective,ranking_objective,num_evaluated_pairs,num_sources
0.9,0.1,0.0,0.3413,0.2255,0.7951,0.614,1.3592,33.67,0.532,0.4245,0.641,746,75
0.9,0.05,0.05,0.328,0.2201,0.7978,0.632,1.3342,32.99,0.5297,0.4142,0.6458,748,75
0.95,0.05,0.0,0.3253,0.2215,0.7946,0.6189,1.3382,33.05,0.5248,0.415,0.6392,748,75
0.85,0.1,0.05,0.3307,0.2233,0.7939,0.6066,1.3499,33.52,0.5248,0.4191,0.6357,746,75
0.85,0.15,0.0,0.344,0.2258,0.7842,0.584,1.3522,33.44,0.5241,0.4243,0.6261,744,75
0.8,0.1,0.1,0.3307,0.2209,0.7902,0.6048,1.3409,33.08,0.5234,0.4163,0.6334,745,75
0.85,0.05,0.1,0.328,0.2188,0.7891,0.6097,1.3302,32.81,0.5227,0.4128,0.6341,748,75
0.8,0.2,0.0,0.3333,0.2262,0.78,0.5869,1.3472,33.37,0.518,0.4211,0.6231,746,75
0.8,0.15,0.05,0.3307,0.2221,0.7828,0.588,1.3405,33.18,0.5178,0.417,0.6242,746,75
0.75,0.15,0.1,0.3307,0.219,0.7813,0.5806,1.3302,32.91,0.5159,0.4136,0.6209,748,75
0.75,0.1,0.15,0.3307,0.2194,0.7849,0.5743,1.3378,33.06,0.5157,0.415,0.6204,740,75
0.8,0.05,0.15,0.3253,0.2201,0.782,0.5905,1.332,32.87,0.5153,0.4132,0.6236,744,75
0.7,0.2,0.1,0.3333,0.2218,0.7721,0.5848,1.3324,33.02,0.5152,0.4163,0.6188,749,75
0.95,0.0,0.05,0.328,0.224,0.773,0.5955,1.3284,32.74,0.515,0.4157,0.6219,749,75
0.75,0.2,0.05,0.3307,0.2265,0.7712,0.588,1.3436,33.34,0.5143,0.4201,0.619,745,75
0.75,0.25,0.0,0.328,0.2283,0.7665,0.5873,1.3625,33.67,0.5114,0.4234,0.6161,742,75
0.7,0.25,0.05,0.3307,0.2255,0.7653,0.5781,1.3531,33.52,0.5106,0.4209,0.6129,742,75
0.7,0.1,0.2,0.3307,0.2204,0.7782,0.5581,1.3451,33.28,0.5104,0.4167,0.6117,736,75
0.75,0.05,0.2,0.328,0.2236,0.7738,0.5683,1.3451,33.2,0.5098,0.4179,0.6127,739,75
0.65,0.25,0.1,0.328,0.2222,0.7683,0.5736,1.3351,33.02,0.5092,0.4156,0.6121,743,75
0.9,0.0,0.1,0.328,0.2227,0.7647,0.5766,1.3271,32.66,0.5087,0.4147,0.6115,749,75
0.7,0.15,0.15,0.3227,0.2201,0.7748,0.5727,1.3333,32.98,0.5083,0.4127,0.6136,744,75
0.65,0.2,0.15,0.3227,0.2199,0.7684,0.5766,1.332,33.03,0.5072,0.4124,0.6121,741,75
0.7,0.3,0.0,0.3227,0.2251,0.7678,0.5713,1.3429,33.27,0.506,0.4172,0.61,735,75
0.6,0.25,0.15,0.3227,0.2207,0.7654,0.5688,1.3347,33.01,0.5047,0.4133,0.608,735,75
0.65,0.3,0.05,0.32,0.2232,0.7678,0.569,1.337,33.21,0.5041,0.4145,0.6087,733,75
0.6,0.3,0.1,0.32,0.2237,0.7638,0.5572,1.3293,33.08,0.5006,0.4136,0.6027,735,75
0.6,0.2,0.2,0.32,0.2221,0.7603,0.5614,1.3514,33.43,0.5004,0.416,0.6026,737,75
0.85,0.0,0.15,0.3253,0.2237,0.7566,0.5519,1.3324,32.8,0.5,0.4154,0.5987,746,75
0.65,0.15,0.2,0.32,0.224,0.7676,0.5481,1.341,33.11,0.4999,0.4155,0.6013,739,75
0.8,0.0,0.2,0.3227,0.2251,0.7536,0.5431,1.3342,32.82,0.496,0.4159,0.5937,739,75
